Format,Extension,Category,Proposed Preservation Action,Preservation Level,Risk Level,Total Files
Apple iWork Numbers,.numbers,13. Spreadsheet,Transform to CSV,Watch,High,1
Gnumeric,.gnumeric,13. Spreadsheet,To be reviewed,Basic,Moderate,0
Microsoft Excel 5.0/95 Workbook (xls),.xls,13. Spreadsheet,Transform to ODS,Full,Moderate,1
Microsoft Excel 97 Workbook (xls),.xls,13. Spreadsheet,Transform to ODS,Full,Moderate,146
Microsoft Excel for Windows,.xlsx,13. Spreadsheet,Original,Full,Low,"1,802"
Microsoft Excel Macro-Enabled,.xlsm,13. Spreadsheet,Original,Watch,Low,3
Microsoft Multiplan,.mod,13. Spreadsheet,To be reviewed,Basic,High,0
OpenDocument Spreadsheet,.ods,13. Spreadsheet,Original,Full,Low,0
