Format,Extension,Category,Proposed Preservation Action,Preservation Level,Risk Level,Total Files
7-bit ASCII Text,.asc,16. Text (Unstructured),Original,Full,Low,"1,891,900"
Plain Text File,.txt,16. Text (Unstructured),Original,Full,Low,"2,905,303"
