Format,Extension,Category,Proposed Preservation Action,Preservation Level,Risk Level,Total Files
Microsoft Powerpoint Design Template,.potx,11. Presentation,Original,Watch,Low,0
Microsoft Powerpoint for Windows,.pptx,11. Presentation,Original,Watch,Low,59
Microsoft Powerpoint for Windows,.ppt,11. Presentation,Original,Watch,Moderate,59
