Format,Extension,Category,Proposed Preservation Action,Preservation Level,Risk Level
Animated Portable Network Graphics,.apng,07. Image (Raster),To be reviewed,Basic,Moderate
Apple Icon Image Format,.icns,07. Image (Raster),Original,Basic,High
BigTIFF,".tiff, .tif",07. Image (Raster),Original,Full,Low
DjVu File Format,".djv, .djvu",07. Image (Raster),To be reviewed,Watch,High
Exchangeable Image File Format (Compressed),".jpeg, .jpg",07. Image (Raster),Transform to TIFF,Full,Low
Exchangeable Image File Format (Uncompressed),".tif, .tiff",07. Image (Raster),Transform to TIFF,Full,Low
Flexible Image Transport System,.fits,07. Image (Raster),Transform to TIFF,Watch,Low
Fujifilm RAW Image Format,.raf,07. Image (Raster),Transform to TIFF,Watch,High
Geographic Tagged Image File Format (GeoTIFF),".tif, .tiff, .cog",07. Image (Raster),Original,Full,Low
Graphics Interchange Format,.gif,07. Image (Raster),Transform to TIFF,Full,Moderate
Hasselblad 3FR Raw Image,.3fr,07. Image (Raster),Transform to TIFF,Full,High
Icon file format,.ico,07. Image (Raster),Transform to SVG or PNG,Watch,Moderate
JPEG File Interchange Format,".jpeg, .jpg, .jif, .jpe, .jfif, .jfi",07. Image (Raster),Transform to TIFF,Full,Low
JPX (JPEG 2000 part 2),".jpx, .jpf",07. Image (Raster),Transform to TIFF,Full,Moderate
Nikon Digital SLR Camera Raw Image File,.nef,07. Image (Raster),Transform to TIFF,Full,High
Nikon N-Dimensional Image,.nd2,07. Image (Raster),Original,Watch,High
Portable Network Graphics,.png,07. Image (Raster),Transform to TIFF,Full,Low
Raw Bitmap,.raw,07. Image (Raster),Transform to TIFF,Full,High
Raw JPEG Stream,".jpeg, .jpg, .jif, .jpe, .jfif, .jfi",07. Image (Raster),Transform to TIFF,Full,Moderate
Tagged Image File Format,".tiff, .tif",07. Image (Raster),Original,Full,Low
Windows Bitmap,.bmp,07. Image (Raster),Transform to TIFF,Full,Moderate
X-Windows Bitmap Image,.xbm,07. Image (Raster),To be reviewed,Watch,Moderate
X-Windows Pixmap Image,.xpm,07. Image (Raster),To be reviewed,Watch,Moderate
Adobe Illustrator,.ai,08. Image (Vector),Transform to PDF/A,Watch,High
Autodesk Animator CEL File Format,".pic, .cel",08. Image (Vector),To be reviewed,Basic,High
Drawing Interchange File Format (ASCII),.dxf,08. Image (Vector),Original,Watch,Low
Drawing Interchange Format (ASCII),.dxf,08. Image (Vector),Original,Watch,Low
Encapsulated PostScript File Format,.eps,08. Image (Vector),Transform to PDF/A,Watch,Low
Hewlett Packard Vector Graphic Plotter File,.plt,08. Image (Vector),Transform,Watch,High
Scalable Vector Graphics,.svg,08. Image (Vector),Transform to Plain SVG,Full,Low
AutoCAD Last Saved Layer State,.las,09. Model,To be reviewed,Basic,High
Bentley Microstation Hidden Line File,".hln, .dgn",09. Model,Original,Basic,High
Binvox,.binvox,09. Model,Original,Basic,Moderate
CloudCompare Entity File,.bin,09. Model,Original,Basic,High
GL Transmission Format (Binary),.glb,09. Model,Original,Watch,Low
Lightning Artist Toolkit Format,.latk,09. Model,To be reviewed,Basic,Low
Microstation CAD Drawing,.dgn,09. Model,Transform to PDF/A,Basic,Moderate
Polygon File Format,.ply,09. Model,Original,Watch,Low
Tilt Brush,.tilt,09. Model,Original,Basic,High
Visualization Toolkit,.vtk,09. Model,Original,Watch,Low
Acrobat PDF 1.1 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full,Moderate
Acrobat PDF 1.2 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full,Moderate
Acrobat PDF 1.3 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full,Moderate
Acrobat PDF 1.4 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full,Moderate
Acrobat PDF 1.5 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full,Moderate
Acrobat PDF 1.6 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full,Moderate
Acrobat PDF 1.7 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full,Low
Acrobat PDF/A - Portable Document Format,.pdf,10. Page Description,Original,Full,Low
Acrobat PDF/X - Portable Document Format - Exchange 1a:2001,.pdf,10. Page Description,Transform to PDF/A,Full,Moderate
Acrobat PDF/X - Portable Document Format - Exchange PDF/X-4,.pdf,10. Page Description,Transform to PDF/A,Full,Low
PostScript,.ps,10. Page Description,To be reviewed,Basic,Low
TeX/LaTeX Device Independent Document,.dvi,10. Page Description,To be reviewed,Basic,High
Microsoft Powerpoint Design Template,.potx,11. Presentation,Original,Watch,Low
Microsoft Powerpoint for Windows,.pptx,11. Presentation,Original,Watch,Low
Microsoft Powerpoint for Windows,.ppt,11. Presentation,Original,Watch,Moderate
Adobe Flash,.swf,12. Source Code and Software,To be reviewed,Basic,High
B Source Code File,.b,12. Source Code and Software,Original,Full,Moderate
Back Up File,.bak,12. Source Code and Software,Original,Watch,High
Batch file (executable),.bat,12. Source Code and Software,Original,Full,Moderate
Binary File,.bin,12. Source Code and Software,Original,Basic,High
C Source Code File,.c,12. Source Code and Software,Original,Full,Low
C/C++ Header File,".h, .hpp, .hxx",12. Source Code and Software,Original,Full,Low
C++ Source Code File,".cpp, .cxx, .cc",12. Source Code and Software,Original,Full,Low
Data File,.dat,12. Source Code and Software,Original,Basic,High
DataFlex Query Tag Name,.tag,12. Source Code and Software,Original,Basic,High
Executable and Linkable Format,.elf,12. Source Code and Software,Original,Basic,Moderate
Fortran,".f90, .f",12. Source Code and Software,Original,Full,Low
Fortran Namelist Format,.nml,12. Source Code and Software,Original,Full,Low
Generic Library File,.lib,12. Source Code and Software,To be reviewed,Basic,High
GROK input file,.grok,12. Source Code and Software,To be reviewed,Basic,Moderate
Java Class File,.class,12. Source Code and Software,Original,Full,Moderate
Java Language Source Code File,.java,12. Source Code and Software,Original,Full,Low
JavaScript file,.js,12. Source Code and Software,Original,Full,Low
Jupyter Python Notebook,.ipynb,12. Source Code and Software,Original,Watch,Low
Log File,.log,12. Source Code and Software,Original,Full,Moderate
Mach-O,no extension,12. Source Code and Software,Original,Basic,Moderate
MATLAB FIG-file,.fig,12. Source Code and Software,Original,Basic,High
MATLAB Script File,.m,12. Source Code and Software,Original,Basic,Low
Microsoft Windows Shortcut,.lnk,12. Source Code and Software,Original,Basic,Moderate
MS-DOS Executable,.exe,12. Source Code and Software,Original,Basic,High
NumPy Format,.npy,12. Source Code and Software,Original,Basic,Low
Perl Script,.pl,12. Source Code and Software,Original,Full,Low
PEST Control File,.pst,12. Source Code and Software,Original,Basic,Low
PEST Instruction File,.ins,12. Source Code and Software,Original,Basic,Low
PEST Template File,.tpl,12. Source Code and Software,Original,Basic,Low
PHP Script Page,.php,12. Source Code and Software,Original,Full,Low
Portable Grey Map - Binary,".pgmb, .pgm",12. Source Code and Software,Original,Basic,Moderate
Portable Pixel Map - Binary,".ppm, .ppmb",12. Source Code and Software,Original,Basic,Moderate
Python Compiled File,.pyc,12. Source Code and Software,Original,Full,Moderate
Python Source Code File,.py,12. Source Code and Software,Original,Full,Low
R Program File,.r,12. Source Code and Software,Original,Full,Low
Typescript,.ts,12. Source Code and Software,Original,Full,Low
Unisys (Sperry) System Data File,.sdf,12. Source Code and Software,To be reviewed,Basic,High
VBScript (VBS) File,.vbs,12. Source Code and Software,To be reviewed,Basic,High
Windows Portable Executable,".exe, .dll, .sys",12. Source Code and Software,Original,Basic,Moderate
Apple iWork Numbers,.numbers,13. Spreadsheet,Transform to CSV,Watch,High
Gnumeric,.gnumeric,13. Spreadsheet,To be reviewed,Basic,Moderate
Microsoft Excel 5.0/95 Workbook (xls),.xls,13. Spreadsheet,Transform to ODS,Full,Moderate
Microsoft Excel 97 Workbook (xls),.xls,13. Spreadsheet,Transform to ODS,Full,Moderate
Microsoft Excel for Windows,.xlsx,13. Spreadsheet,Original,Full,Low
Microsoft Excel Macro-Enabled,.xlsm,13. Spreadsheet,Original,Watch,Low
Microsoft Multiplan,.mod,13. Spreadsheet,To be reviewed,Basic,High
OpenDocument Spreadsheet,.ods,13. Spreadsheet,Original,Full,Low
Agisoft Project File,.psx,14. Text (Markup),To be reviewed,Basic,High
Canadian Avalanche Association Markup Language,.caaml,14. Text (Markup),Original,Full,Low
Document Type Definition,.dtd,14. Text (Markup),Original,Full,Low
eRuby HTML document,".rhtml, .rhtm",14. Text (Markup),Original,Full,Low
Extensible Markup Language,.xml,14. Text (Markup),Original,Full,Low
Extensible Metadata Platform Format,.xmp,14. Text (Markup),Original,Full,Low
Extensible Metadata Platform Packet,.xmp,14. Text (Markup),Original,Full,Low
Geography Markup Language,.gml,14. Text (Markup),Original,Full,Low
GPS Exchange Format,.gpx,14. Text (Markup),Original,Full,Low
Hypertext Markup Language,.html,14. Text (Markup),Original,Full,Low
Keyhole Markup Language (Container),.kmz,14. Text (Markup),Original,Full,Low
Keyhole Markup Language (XML),.kml,14. Text (Markup),Original,Full,Low
LaTeX (Master document),.tex,14. Text (Markup),Original,Full,Low
LaTeX (Subdocument),.tex,14. Text (Markup),Original,Full,Low
Markdown,.md,14. Text (Markup),Original,Full,Low
OGR GFS File,.gfs,14. Text (Markup),Original,Watch,Moderate
QGIS Metadata File,.qmd,14. Text (Markup),Original,Full,Low
QGIS Style Language,.qml,14. Text (Markup),Original,Full,Low
reStructuredText,.rst,14. Text (Markup),Original,Full,Low
SGML/XML Entity File,.sgml,14. Text (Markup),Original,Full,Moderate
Standard Generalized Markup Language,.sgml,14. Text (Markup),Original,Full,Moderate
TEI P5 - Single Text File,".tei, .odd, .xml",14. Text (Markup),Original,Full,Low
Vicon Skeleton File/Vicon Labeling Setup file,.vsk,14. Text (Markup),Original,Full,HIgh
XML Property List,.plist,14. Text (Markup),Original,Full,Low
XML Schema Definition,.xsd,14. Text (Markup),Original,Full,Low
BibTeX Database File,.bib,15. Text (Structured),Original,Full,Low
Cascading Style Sheet,.css,15. Text (Structured),Original,Full,Low
Clock RINEX File Format,.clk,15. Text (Structured),Original,Full,Low
Comma Separated Values,.csv,15. Text (Structured),Original,Full,Low
Data Interchange Format,.dif,15. Text (Structured),Original,Watch,Moderate
HPL (Halo Photonics) Doppler LiDAR File Format,.hpl,15. Text (Structured),Original,Full,High
JSON Data Interchange Format,.json,15. Text (Structured),Original,Full,Low
Leaner Style Sheets,.less,15. Text (Structured),Original,Full,Low
MD5 File,.md5,15. Text (Structured),Original,Full,Low
OPML File,.opml,15. Text (Structured),Original,Full,Moderate
Prime OCR,.pro,15. Text (Structured),Original,Basic,High
PrimeOCR,.pro,15. Text (Structured),Original,Basic,High
Position File (CSRS-PPP),.pos,15. Text (Structured),Original,Full,Low
Protein Data Bank File,.pdb,15. Text (Structured),Original,Watch,Low
QGIS Spatial Index File,.qix,15. Text (Structured),Original,Watch,Low
RINEX Observation File,.obs,15. Text (Structured),Original,Full,Low
Spectrometer Configuration Info File,.info,15. Text (Structured),Original,Full,High
Spectrometer Parameter File,.par,15. Text (Structured),Original,Full,High
Standard for the Exchange of Product model data,".step, .stp",15. Text (Structured),Original,Basic,Low
Structured Query Language Data,.sql,15. Text (Structured),Original,Full,Low
Subsurface Material Properties File,.mprops,15. Text (Structured),Original,Full,High
Summary File (CSRS-PPP),.sum,15. Text (Structured),Original,Full,Low
Surface Domain Properties File,.oprops,15. Text (Structured),Original,Full,High
Syntactically Awesome Style Sheets,".sass, .scss",15. Text (Structured),Original,Full,Low
Tab-separated Values,".tsv, .tab",15. Text (Structured),Transform to CSV,Full,Low
Text Configuration file,.ini,15. Text (Structured),Original,Full,Moderate
Tropospheric Zenith Delay File (CSRS-PPP),.tro,15. Text (Structured),Original,Full,Low
YAML,".yml, .yaml",15. Text (Structured),Original,Full,Low
7-bit ASCII Text,.asc,16. Text (Unstructured),Original,Full,Low
Plain Text File,.txt,16. Text (Unstructured),Original,Full,Low
Audio/Video Interleaved Format,.avi,17. Video,Transform to Matroska (mkv – video: ffv1 / audio: lcpm),Full,Moderate
MPEG-1 Program Stream,".mpeg, .mpg",17. Video,Transform to Matroska (mkv – video: ffv1 / audio: lcpm),Full,Moderate
MPEG-2 Program Stream,".mpeg, .mpg",17. Video,Transform to Matroska (mkv – video: ffv1 / audio: lcpm),Full,Moderate
