Format,Extension,Category,Proposed Preservation Action,Preservation Level
Tagged Image File Format,".tiff, .tif",07. Image (Raster),Original,Full
Windows Bitmap,.bmp,07. Image (Raster),Transform to TIFF,Full
X-Windows Bitmap Image,.xbm,07. Image (Raster),To be reviewed,Watch
X-Windows Pixmap Image,.xpm,07. Image (Raster),To be reviewed,Watch
Adobe Illustrator,.ai,08. Image (Vector),Transform to PDF/A,Watch
Autodesk Animator CEL File Format,".pic, .cel",08. Image (Vector),To be reviewed,Basic
Drawing Interchange File Format (ASCII),.dxf,08. Image (Vector),Original,Watch
Drawing Interchange Format (ASCII),.dxf,08. Image (Vector),Original,Watch
Encapsulated PostScript File Format,.eps,08. Image (Vector),Transform to PDF/A,Watch
Hewlett Packard Vector Graphic Plotter File,.plt,08. Image (Vector),Transform,Watch
Scalable Vector Graphics,.svg,08. Image (Vector),Transform to Plain SVG,Full
AutoCAD Last Saved Layer State,.las,09. Model,To be reviewed,Basic
Bentley Microstation Hidden Line File,".hln, .dgn",09. Model,Original,Basic
Binvox,.binvox,09. Model,Original,Basic
CloudCompare Entity File,.bin,09. Model,Original,Basic
GL Transmission Format (Binary),.glb,09. Model,Original,Watch
Lightning Artist Toolkit Format,.latk,09. Model,To be reviewed,Basic
Microstation CAD Drawing,.dgn,09. Model,Transform to PDF/A,Basic
Polygon File Format,.ply,09. Model,Original,Watch
Tilt Brush,.tilt,09. Model,Original,Basic
Visualization Toolkit,.vtk,09. Model,Original,Watch
Acrobat PDF 1.1 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full
Acrobat PDF 1.2 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full
Acrobat PDF 1.3 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full
Acrobat PDF 1.4 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full
Acrobat PDF 1.5 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full
Acrobat PDF 1.6 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full
Acrobat PDF 1.7 - Portable Document Format,.pdf,10. Page Description,Transform to PDF/A,Full
Acrobat PDF/A - Portable Document Format,.pdf,10. Page Description,Original,Full
Acrobat PDF/X - Portable Document Format - Exchange 1a:2001,.pdf,10. Page Description,Transform to PDF/A,Full
Acrobat PDF/X - Portable Document Format - Exchange PDF/X-4,.pdf,10. Page Description,Transform to PDF/A,Full
PostScript,.ps,10. Page Description,To be reviewed,Basic
TeX/LaTeX Device Independent Document,.dvi,10. Page Description,To be reviewed,Basic
Microsoft Powerpoint Design Template,.potx,11. Presentation,Original,Watch
Microsoft Powerpoint for Windows,".pptx, .ppt",11. Presentation,Original,Watch
Adobe Flash,.swf,12. Source Code and Software,To be reviewed,Basic
B Source Code File,.b,12. Source Code and Software,Original,Full
Back Up File,.bak,12. Source Code and Software,Original,Watch
Batch file (executable),.bat,12. Source Code and Software,Original,Full
Binary File,.bin,12. Source Code and Software,Original,Basic
C Source Code File,.c,12. Source Code and Software,Original,Full
C/C++ Header File,".h, .hpp, .hxx",12. Source Code and Software,Original,Full
C++ Source Code File,".cpp, .cxx, .cc",12. Source Code and Software,Original,Full
Data File,.dat,12. Source Code and Software,Original,Basic
DataFlex Query Tag Name,.tag,12. Source Code and Software,Original,Basic
Executable and Linkable Format,.elf,12. Source Code and Software,Original,Basic
Fortran,".f90, .f",12. Source Code and Software,Original,Full
Generic Library File,.lib,12. Source Code and Software,To be reviewed,Basic
GROK input file,.grok,12. Source Code and Software,To be reviewed,Basic
Java Class File,.class,12. Source Code and Software,Original,Full
Java Language Source Code File,.java,12. Source Code and Software,Original,Full
JavaScript file,.js,12. Source Code and Software,Original,Full
Jupyter Python Notebook,.ipynb,12. Source Code and Software,Original,Watch
Log File,.log,12. Source Code and Software,Original,Full
Mach-O,no extension,12. Source Code and Software,Original,Basic
MATLAB Script File,.m,12. Source Code and Software,Original,Basic
Microsoft Windows Shortcut,.lnk,12. Source Code and Software,Original,Basic
MS-DOS Executable,.exe,12. Source Code and Software,Original,Basic
Perl Script,.pl,12. Source Code and Software,Original,Full
PEST Template File,.tpl,12. Source Code and Software,Original,Basic
PEST Instruction File,.ins,12. Source Code and Software,Original,Basic
PEST Control File,.pst,12. Source Code and Software,Original,Basic
PHP Script Page,.php,12. Source Code and Software,Original,Full
Portable Grey Map - Binary,".pgmb, .pgm",12. Source Code and Software,Original,Basic
Portable Pixel Map - Binary,".ppm, .ppmb",12. Source Code and Software,Original,Basic
Python Compiled File,.pyc,12. Source Code and Software,Original,Full
Python Source Code File,.py,12. Source Code and Software,Original,Full
R Program File,.r,12. Source Code and Software,Original,Full
Typescript,.ts,12. Source Code and Software,Original,Full
Unisys (Sperry) System Data File,.sdf,12. Source Code and Software,To be reviewed,Basic
