Format,Extension,Catégorie,Action de préservation proposée,Niveau de préservation,Nombre total de fichiers
Microsoft Powerpoint Design Template,.potx,11. Présentation,Original,Veille,11
Microsoft Powerpoint for Windows,".pptx, .ppt",11. Présentation,Original,Veille,59
