Format,Extension,Category,Proposed Preservation Action,Preservation Level,Total Files
7-bit ASCII Text,.asc,16. Text (Unstructured),Original,Full,"1,891,856"
Plain Text File,.txt,16. Text (Unstructured),Original,Full,"1,214,069"
