Format,Extension,Category,Proposed Preservation Action,Preservation Level,Total Files
Adobe Illustrator,.ai,08. Image (Vector),Transform to PDF/A,Watch,4
Autodesk Animator CEL File Format,".pic, .cel",08. Image (Vector),To be reviewed,Basic,2
Drawing Interchange File Format (ASCII),.dxf,08. Image (Vector),Original,Watch,1
Drawing Interchange Format (ASCII),.dxf,08. Image (Vector),Original,Watch,5
Encapsulated PostScript File Format,.eps,08. Image (Vector),Transform to PDF/A,Watch,4
Hewlett Packard Vector Graphic Plotter File,.plt,08. Image (Vector),Transform,Watch,1
Scalable Vector Graphics,.svg,08. Image (Vector),Transform to Plain SVG,Full,447
