Format,Extension,Category,Proposed Preservation Action,Preservation Level,Total Files
7-bit ASCII Text,.asc,16. Text (Unstructured),Original,Full,"1,891,856"
Garmin Flexible and Interoperable Data Transfer File,.fit,16. Text (Unstructured),Original,Basic,0
Plain Text File,.txt,16. Text (Unstructured),Original,Full,"1,214,043"
