Format,Extension,Category,Proposed Preservation Action,Preservation Level,Total Files
Adobe PostScript Font Metrics file,.pfm,05. Font,Original,Watch,505
Adobe Printer Font Binary,.pfb,05. Font,Original,Watch,681
Daisy-Dot Font File,.nlq,05. Font,Original,Watch,4
Embedded OpenType (EOT) File Format,.eot,05. Font,Original,Watch,19
OpenType Font File,.otf,05. Font,Original,Watch,213
TrueType Font,.tff,05. Font,Original,Watch,108
Web Open Font Format,.woff,05. Font,Original,Watch,87
