Format,Extension,Category,Proposed Preservation Action,Preservation Level,Total Files
Apple iWork Numbers,.numbers,13. Spreadsheet,Transform to CSV,Watch,1
Gnumeric,.gnumeric,13. Spreadsheet,To be reviewed,Basic,1
Microsoft Excel 5.0/95 Workbook (xls),.xls,13. Spreadsheet,Transform to ODS,Full,1
Microsoft Excel 97 Workbook (xls),.xls,13. Spreadsheet,Transform to ODS,Full,157
Microsoft Excel for Windows,.xlsx,13. Spreadsheet,Original,Full,"1,736"
Microsoft Excel Macro-Enabled,.xlsm,13. Spreadsheet,Original,Watch,3
Microsoft Multiplan,.mod,13. Spreadsheet,To be reviewed,Basic,33
OpenDocument Spreadsheet,.ods,13. Spreadsheet,Original,Full,1
